Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
John Robbins		26-Oct						 Male			 Straight	 Author, 		 United States	 Celebrity vegan	Diet for a New America|May All Be Fed: Diet for a New World|Reclaiming Our Health: Exploding the Medical Myth and Embracing the Source of True Healing|The Awakened Heart: Meditations on Finding Harmony in a Changing World|The Food Revolution|Healthy at 100
Tony Robbins	 Anthony J. Mahavorick	29-Feb	Glendora, CA					 Male			 Straight	 Author, TV Personality	http://www.anthonyrobbins.com/	 United States	 Toothy motivational speaker	
Elizabeth Madox Roberts		30-Oct	Perryville, KY	13-Mar	Orlando, FL	Cancer - Lymphoma	 Buried, Springfield, KY	 Female			 Straight	 Author, 		 United States	The Great Meadow	In the Great Steep's Garden|Under the Tree|The Time of Man|The Great Meadow|The Haunted Mirror|Song in the Meadow|Not By Strange Gods
François de la Rochefoucauld		15-Sep	Paris, France	16-Mar	Paris, France	 unspecified		 Male	Roman Catholic		 Straight	 Author		 France	Maxims	Réflexions ou sentences et maximes morales|Mémoires sur la régence d'Anne d'Autriche|La Princesse de Clèves
Thomas Rockwell		13-Mar	New Rochelle, NY					 Male			 Straight	 Author		 United States	How to Eat Fried Worms	
Peter Mark Roget		18-Jan	London, England	12-Sep	 West Malvern, Worcestershire, England	 unspecified	 Buried, St. James's Church, West Malvern, Worcestershire, England	 Male			 Straight	 Author		 England	Roget's Thesaurus	Animal and Vegetable Physiology considered with Reference to Natural Theology|Thesaurus of English Words and Phrases
Anne Roiphe	 Anne Roth	25-Dec	New York City					 Female	Jewish		 Straight	 Author		 United States	Up the Sandbox!	Digging Out|Up the Sandbox!|Lovingkindness|The Pursuit of Happiness|Fruitful: A Real Mother in the Modern World
Frederick Rolfe	 Frederick William Rolfe	22-Jul	London, England	25-Oct	Venice, Italy	Stroke	 Buried, 	 Male	Roman Catholic		Gay	 Author, 		 England	 Baron Corvo	Stories Toto Told Me: About What Is Due to Repentance|Chronicles of the House of Borgia|In His Own Image|Hadrian the Seventh: A Romance|Don Renato, an Ideal Content: Historical Romance|The Weird of the Wanderer: Being the Papyrus Records of Some Incidents in One of the Previous Lives of Mr. Nicholas Crabbe, Here Produced by Prospero & Caliban|Three Tales of Venice|The Desire and Pursuit of the Whole: A Romance of Modern Venice|The Cardinal Prefect of Propaganda: And Other Stories|Nicholas Crabbe: Or, The One and the Many: A Romance
Wayne Allyn Root		1963	Mount Vernon, NY					 Male	Jewish		 Straight	 Author		 United States	The Zen of Gambling	Root on Risk: Betting to Win on Sports|The Joy of Failure! How to Turn Failure, Rejection, and Pain into Extraordinary Success|The Zen of Gambling: The Ultimate Guide to Risking It All and Winning at Life|Millionaire Republican: The Republican Secrets to Mega-wealth And Unlimited Success!|The Conscience of a Libertarian: Empowering the Citizen Revolution with God, Guns, Gambling, & Tax Cuts
João Guimarães Rosa		27-Jun	 Cordisburgo, Minas Gerais, Brazil	19-Nov	Rio de Janeiro, Brazil	 Heart Failure		 Male			 Straight	 Author		 Brazil	The Devil to Pay in the Backlands	Magma|Sagarana|Com o vaqueiro Mariano|Corpo de Baile|Grande Sertão: Veredas|Primeiras estórias|Tutaméia: Terceiras estórias|Estas estórias|Ave, palavra
Leo Rosten	 Leo Calvin Rosten	11-Apr	Lodz, Poland	19-Feb	New York City	 unspecified		 Male	Jewish		 Straight	 Author		 United States	The Joys of Yiddish	The Education of H*y*m*a*n K*a*p*l*a*n|A Guide to the Religions of America|The Return of H*y*m*a*n K*a*p*l*a*n|The Story Behind the Painting|The Many Worlds of Leo Rosten|A Most Private Intrigue|The Joys of Yiddish|A Trumpet for Reason|Leo Rosten's People I Have Loved, Known, or Admired|Rome Wasn't Burned in a Day: The Mischief of Language|Leo Rosten's Treasury of Jewish Quotations|O K*a*p*l*an! My K*a*p*l*a*n!|The Three-Ten to Anywhere|The Power of Positive Nonsense|Passions and Prejudices|Silky!: A Detective Story|King Silky!|Hurray for Yiddish! A Book About English|The Joys of Yinglish
Henry Roth	 Herschel Roth	8-Feb	 Tismenitsya, Ukraine	13-Oct	Albuquerque, NM	 unspecified		 Male	Atheist		 Straight	 Author		 United States	Call It Sleep	Call It Sleep|Shifting Landscape: A Composite, 1925-87|A Star Shines Over Mt. Morris Park|Mercy of a Rude Stream|A Diving Rock on the Hudson|From Bondage
David Rothkopf	 David Jochanan Rothkopf	24-Dec						 Male				 Author		 United States	Superclass	The Price of Peace: Emergency Economic Intervention and U.S. Foreign Policy|Running the World: The Inside Story of the National Security Council and the Architects of American Power|Superclass: The Global Power Elite and the World They Are Making|Power, Inc.: The Epic Rivalry Between Big Business and Government: And the Reckoning That Lies Ahead
Mary Rowlandson	 Mary White	 c. 	England	5-Jan	Wethersfield, CT	 unspecified		 Female				 Author		 United States	Narrative of the Captivity	The Soveraignty & Goodness of God, Together with the Faithfulness of His Promises Displayed; Being a Narrative of the Captivity and Restauration of Mrs. Mary Rowlandson
J. K. Rowling	 Joanne Rowling	31-Jul	 Chipping Sodbury, Gloucester, England					 Female	Anglican/Episcopalian		 Straight	 Author	http://www.jkrowling.com/	 England	 Author of 	Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Prisoner of Azkaban|Harry Potter and the Goblet of Fire|Quidditch through the Ages|Fantastic Beasts and Where to Find Them|Harry Potter and the Order of the Phoenix|Harry Potter and the Half-Blood Prince|Harry Potter and the Deathly Hallows|The Tales of Beedle the Bard|The Casual Vacancy|The Cuckoo's Calling
Susanna Rowson	 Susanna Haswell	 c. 	Portsmouth, Hampshire, England	2-Mar	Boston, MA	 unspecified		 Female			 Straight	 Author		 United States	Charlotte, a Tale of Truth	Victoria|Poems on Various Subjects|Mary; or The Test of Honour|Charlotte, a Tale of Truth|Charlotte Temple|Mentoria, or the Young Ladies' Friend|Rebecca; or The Fille de Chambre|The Inquisitor; or, Invisible Rambler|Trials of the Human Heart|Reuben and Rachel, or Tales of Old Times|A Spelling Dictionary| Sarah; or, The Exemplary Wife|Biblical Dialogues Between a Father and His Family|Charlotte's Daughter; or The Three Orphans|Slaves in Algiers|The Volunteers
Arundhati Roy		24-Nov	 Shillong, Meghalaya, India					 Female	Atheist		 Straight	 Author		 India	The God of Small Things	The God of Small Things|The Cost of Living: The Greater Common Good and The End of Imagination|Power Politics|The Algebra of Infinite Justice|War Talk|An Ordinary Person's Guide to Empire|The Checkbook and the Cruise Missle
Gabrielle Roy		22-Mar	Saint Boniface, Manitoba, Canada	13-Jul	Quebec City, Quebec, Canada	 unspecified		 Female			 Straight	 Author		 Canada	Bonheur d'occasion	Bonheur d'occasion|La Petite poule d'eau|Alexandre Chenevert|Rue Deschambault|La Montagne secrète|La Route d'Altamont|La Rivière sans repos|Cet été qui chantait|Un Jardin au bout du monde|Ces Enfants de ma vie|De quoi t'ennuies-tu, Éveline?|La Détresse et l'enchantement
Ann Rule		22-Oct	Lowell, MI	26-Jul	Seattle, WA	 unspecified		 Female			 Straight	 Author	http://www.annrules.com/	 United States	 Prolific true crime paperback writer	Beautiful San Juan Island and Puget Sound|The Stranger Beside Me|Possession|Lust Killer|Want-Ad Killer|I-5 Killer|Mind Games|Small Sacrifices|Beautiful Seattle|The Want-AD Killer|The I-5 Killer|Lust Killer|If You Really Loved Me|Everything She Ever Wanted|Ann Rule's Crime Files Volume 1. A Rose for Her Grave|Ann Rule's Crime Files Volume 2. You Belong to Me|Dead By Sunset|A Rose for Her Grave / You Belong to Me / A Fever in the Heart|Ann Rule's Crime Files Volume 3. A Fever in the Heart|Bitter Harvest|Ann Rule's Crime Files Volume 4. In the Name of Love|Ann Rule's Crime Files Volume 5. The End of the Dream|...And Never Let Her Go|Ann Rule's Crime Files Volume 6. A Rage to Kill|Every Breath You Take|Ann Rule's Crime Files Volume 7. Empty Promises|Heart Full of Lies|Ann Rule's Crime Files Volume 8. Last Dance, Last Chance|Without Pity: Ann Rule's Most Dangerous Killers|Green River, Running Red: The Real Story of the Green River Killer|Ann Rule's Crime Files Volume 9. Kiss Me, Kill Me
Jane Rule		28-Mar	Plainfield, NJ	27-Nov	 Galiano Island, British Columbia, Canada	Cancer - Liver		 Female	Atheist		Lesbian	 Author		 United States	Desert of the Heart	Desert of the Heart|Desert Hearts|This Is Not for You|Against the Season|The Young in One Another's Arms|Theme for Diverse Instruments|Lesbian Images|The Young in One Another's Arms|Contract with the World|Outlander|Inland Passage and Other Stories|A Hot-Eyed Moderate|Memory Board|After the Fire
Michael Rumaker		5-Mar	Philadelphia, PA					 Male			Gay	 Author		 United States	 Beat author, 	The Butterfly|Exit 3, and Other Stories|A Day and a Night at the Baths|My First Satyrnalia|3 x 3|To Kill a Cardinal|Robert Duncan in San Francisco|Black Mountain Days: A Memoir
Kristine Kathryn Rusch		1960						 Female			 Straight	 Author	http://www.kristinekathrynrusch.com/	 United States	 Science fiction and fantasy author, editor	The Black King|The Black Queen|The Fey: Victory|The Fey: The Resistance|The Fey: The Rival|Star Wars: The New Rebellion|The Fey: The Changeling|The Fey: The Sacrifice|X-men
Douglas Rushkoff		18-Feb						 Male	Atheist		 Straight	 Author, 	http://www.rushkoff.com/	 United States	 Cyberculture analyst	Free Rides: How to Get High Without Drugs|Media Virus! Hidden Agendas in Popular Culture|Cyberia: Life in the Trenches of Cyberspace|Playing the Future: How Kids' Culture Can Teach Us to Thrive in an Age of Chaos|Ecstasy Club|Coercion: Why We Listen to What "They" Say|Exit Strategy|Nothing Sacred: The Truth about Judaism|Club Zero-G|Get Back in the Box: Innovation from the Inside Out|Life Inc.: How the World Became a Corporation and How to Take It Back|Program or Be Programmed: Ten Commands for a Digital Age|Present Shock: When Everything Happens Now
Joanna Russ	 Joanna Ruth Russ	22-Feb	New York City	29-Apr	Tucson, AZ	Stroke		 Female			Lesbian	 Author		 United States	The Female Man	Picnic on Paradise|And Chaos Died|The Female Man|Alyx|We Who Are About To|The Two of Them|(Extra)ordinary People|The Zanzibar Cat|Magic Mommas, Trembling Sisters, Puritans & Perverts|The Hidden Side of the Moon|How to Write Like a Woman|To Write Like a Woman: Essays in Feminism and Science Fiction
Charles Edward Russell		25-Sep	Davenport, IA	23-Apr	Washington, DC	 unspecified		 Male			 Straight	 Author, 		 United States	The Greatest Trust in the World	Such Stuff as Dreams|Thomas Chatterton: The Marvelous Boy|The Greatest Trust in the World|The Uprising of the Many|Lawless Wealth|Unchained Russia|After the Whirlwind|Bolshevism and the United States|The Story of the Non-partisan League|The Outlook for the Philippines|Julia Marlowe: Her Life and Art|The American Orchestra and Theodore Thomas|Bare Hands and Stone Walls: Some Recollections of a Sideline Reformer
Luigi Russolo		30-Apr	 Portograro, Veneto, Italy	6-Feb	 Cerro di Laverno, Italy	 unspecified		 Male				 Author, 		 Italy	 Authored the manifesto 	L'arte dei rumori|The Art of Noises|Al di là della materia|Beyond Matter
Vita Sackville-West	 Victoria Mary Sackville-West	9-Mar	 Sevenoaks, Kent, England	2-Jun	 Sissinghurst, Kent, England	 unspecified		 Female			Bisexual	 Author, 		 England	The Land	
Carl Safina		23-May	Brooklyn, NY					 Male				 Author		 United States	Song for the Blue Ocean	Song for the Blue Ocean: Encounters Along the World's Coasts and Beneath the Seas|Eye of the Albatross: Visions of Hope and Survival|Voyage of the Turtle: In Pursuit of the Earth's Last Dinosaur|A Sea in Flames: The Deepwater Horizon Oil Blowout|The View From Lazy Point: A Natural Year in an Unnatural World|Beyond Words: What Animals Think and Feel
Antoine de Saint-Exupéry	 Antoine-Marie-Roger de Saint-Exupéry	29-Jun	Lyon, France	31-Jul	 Mediterranean Sea	Accident - Airplane	 Missing (body never recovered)	 Male	Roman Catholic		 Straight	 Author, 		 France	The Little Prince	Courrier-Sud|Southern Mail|Vol de nuit|Night Flight|Terre des hommes|Wind, Sand, and Stars|Pilote de Guerre|Flight to Arras|Lettre à un otage|Letter to a Hostage|Le Petit Prince|The Little Prince|Citadelle|The Wisdom of the Sands
Henri de Saint-Simon	 Claude Henri de Rouvroy, Comte de Saint-Simon	17-Oct	Paris, France	19-May	Paris, France	 unspecified	 Buried, 	 Male			 Straight	 Author		 France	Nouveau Christianisme	Lettres d'un habitant de Genève à ses contemporains|De la réorganisation de la société européenne|L'Industrie|Du système industriel|Catéchisme des industriels|Nouveau Christianisme|Mémoires
R. A. Salvatore	 Robert Anthony Salvatore	20-Jan	Leominster, MA					 Male			 Straight	 Author	http://www.rasalvatore.com/	 United States	 Created the dark elf Drizzt	The Demon Awakens|The Demon Spirit|The Demon Apostle|The Woods Out Back|The Dragon's Dagger|Dragonslayer's Return|Homeland|Exile|Sojourn|The Sword of Bedwyr|Luthien's Gamble|The Dragon King|Echoes of the Fourth Magic|The Witch's Daughter|Bastion of Darkness
George Sand	 Amandine-Aurore-Lucile Dupin	1-Jul	Paris, France	8-Jun	 Nohant, Indre, France	 unspecified	 Buried, Cimètiere de Nohant, Indre, France	 Female			 Straight	 Author		 France	Lélia	
Carl Sandburg	 Charles August Sandburg	6-Jan	Galesburg, IL	22-Jul	Flat Rock, NC	 Heart Failure	 Cremated, Sandburg Birthplace, Galesburg, IL	 Male			 Straight	 Author, 		 United States	 Illinois poet, Lincoln biographer	In Reckless Ecstasy|Chicago Poems|Cornhuskers|Smoke and Steel|Slabs of the Sunburnt West|Selected Poems|Abraham Lincoln: The Prairie Years|The American Songbag|Good Morning, America|Steichen the Photographer|Mary Lincoln: Wife and Widow|The People, Yes|Abraham Lincoln: The War Years|The New American Songbag|Complete Poems|Harvest Poems|Honey and Salt|Complete Poems
Mari Sandoz	 Marie Susette	11-May	Sheridan County, NE	10-Mar	New York City	Cancer - unspecified	 Buried, Mari Sandoz Museum, Gordon, NE	 Female			 Straight	 Author		 United States	Crazy Horse	Old Jules|Sloghum House|Capital City|Crazy Horse, The Strange Man of the Oglalas|Cheyenne Autumn|The Buffalo Hunters|The Horsecatcher|The Story Catcher|The Battle of the Little Bighorn
José Saramago	 José de Sousa Saramago	16-Nov	 Azinhaga, Portugal	18-Jun	 Lanzarote, Canary Islands	 unspecified		 Male	Atheist		 Straight	 Author, 	http://caderno.josesaramago.org/	 Portugal	 Brilliant Portuguese novelist	Terra do Pecado (The Land of Sin)|Os Poemas Possíveis (Possible Poems)|Provavelmente Alegria (Probably Joy)|Deste Mundo e do Outro (From this World and the Other)|A Bagagem do Viajante (The Traveller's Baggage)|As Opiniões que o DL teve (The Opinions the DL Had)|O Ano de 1993 (The Year 1993)|Os Apontamentos|Manual de Pintura e Caligrafia (Manual of Painting and Calligraphy)|Objecto Quase (Quasi Object)|Levantado do Chão (Risen from the Earth)|Viagem a Portugal (Journey to Portugal)|Memorial do Convento (Baltasar and Blimunda)|O Ano da Morte de Ricardo Reis (The Year of the Death of Ricardo Reis)|A Jangada de Pedra (The Stone Raft)|História do Cerco de Lisboa (The History of the Siege of Lisbon)|O Evangelho Segundo Jesus Cristo (The Gospel According to Jesus Christ)|Ensaio sobre a Cegueira (Blindness)|Todos os Nomes (All the Names)|O Conto da Ilha Desconhecida (Tale of the Unknown Island)|Folhas Políticas (Papers on Policy)|A Caverna (The Cave)|O Homem Duplicado (The Duplicate Man)|Ensaio sobre a Lucidez (Seeing)|Blindness|As Intermitências da Morte (Death with Interruptions)|As Pequenas Memórias (Small Memories)|A Viagem do Elefante (The Elephant's Journey)|Caim (Cain)|O Caderno (The Notebook)|O Caderno 2 (The Notebook 2)|A Noite (Nightlife)|Que Farei Com Este Livro? (What Shall I do with this Book?)|A Segunda Vida de Francisco de Assis (The Second Life of Francis of Assisi)|In Nomine Dei|Don Giovanni, ou o Dissoluto Absolvido (Don Giovanni, or The Dissolute Acquitted)
Severo Sarduy		25-Feb	 Camagüey, Cuba	8-Jun	Paris, France	AIDS	 Buried, Cimetière de Thiais, Thiais, France	 Male			Gay	 Author		 Cuba	De donde son los Cantantes	Gestos|De donde son los cantantes|Flamenco|Mood Indigo|Cobra|Big Bang|Maitreya|Colibrí|El Cristo de la rue Jacob|Pájaros de la playa|Barroco|La playa
William Saroyan		31-Aug	Fresno, CA	18-May	Fresno, CA	Cancer - unspecified	 Cremated, Ararat Cemetery, Fresno, CA	 Male			 Straight	 Author		 United States	The Time of Your Life	The Daring Young Man on the Flying Trapeze|Inhale and Exhale|My Name is Aram|The Human Comedy|Rock Wagram|The Laughing Matter|Here Comes, There Goes You Know Who|Not Dying|One Day in the Afternoon of the World|Days of Life and Death and Escape to the Moon|Places Where I've Done Time|My Heart's in the Highlands|The Time of Your Life
